,BGN,BGNx3,Base,G,G&I,I,node_name,node_id,neighborhood,historic_stream
75,-1.2683616101849537e-08,-3.3388278947166228e-09,0.0,-3.855753317200117e-05,-3.429862939680062e-05,4.214982904704456e-06,J571-S_depth,J571-S,Berea,Armistead Creek
76,-0.005232465329706781,-0.011532320462216306,0.0,-0.018843642129655808,-0.0929743376370773,-0.08709908068509689,J576-S_depth,J576-S,Dunbar-Broadway,Canal Street Creek
77,-0.003234531919624306,-0.008530233251788921,0.0,-0.013669816874478713,-0.07402880262318409,-0.0714307604228207,J578-S_depth,J578-S,Dunbar-Broadway,Canal Street Creek
78,-3.451297850287638e-08,-9.059360511765036e-09,0.0,-0.0005103481829143164,-0.026072036428384307,-0.025603454274638407,J586-S_depth,J586-S,Dunbar-Broadway,Canal Street Creek
79,-7.409879401731878e-08,1.914860539575791e-08,0.0,-0.0005606804299786161,0.000105675571172692,0.0006659657614492831,J587-S_depth,J587-S,Downtown,"Southside, Drains to Harbor"
80,-6.60989383782784e-08,-4.910421258497166e-08,0.0,-0.0003684617841663851,-0.008509267133372383,-0.008158262803651783,J592-S_depth,J592-S,Dunbar-Broadway,Canal Street Creek
81,1.6475486699918385e-07,1.475693834906977e-07,0.0,-0.0006187523582086019,-0.016629152610552506,-0.015997095158331393,J5-S_depth,J5-S,Canton,"Northside, Drains to Harbor"
82,-1.629029980354524e-08,2.833045130434808e-08,0.0,-0.00028348416253670683,-0.0012341506730947083,-0.0009514276729336996,J609-S_depth,J609-S,Dunbar-Broadway,Canal Street Creek
83,-1.973650939901539e-08,1.553340911453205e-08,0.0,-0.0005057693274619912,-0.0004974538512599047,8.363116281800975e-06,J60-S_depth,J60-S,Downtown,"Southside, Drains to Harbor"
84,-2.1477704892358673e-08,1.1217243495176277e-08,0.0,-0.0005689426128991926,-0.00026930407334510575,0.0003004146400983898,J619-S_depth,J619-S,Dunbar-Broadway,Canal Street Creek
85,-0.004274921895853878,-0.006884809098863298,0.0,-0.012702463246590467,0.023438764442965887,0.03752712768066441,J620-S_depth,J620-S,Johnston Square,Harris Creek
86,-0.0033578690770054154,-0.005894271681042174,0.0,-0.01087473487777102,0.024804333860952488,0.0364167933574262,J624-S_depth,J624-S,Johnston Square,Harris Creek
87,-2.946541399762026e-08,1.736799593032856e-08,0.0,-0.0007407615931602773,-0.011224193695437479,-0.010462588906651193,J62-S_depth,J62-S,Downtown,"Southside, Drains to Harbor"
88,-1.6801147001421768e-08,1.436194579929051e-08,0.0,-0.0003020318800407984,-0.0002517867608202995,4.831783894999886e-05,J632-S_depth,J632-S,Eager Park,Canal Street Creek
89,-0.003730875180880888,-0.008689509719824795,0.0,-0.013952104732538412,-0.06643273430577201,-0.05839170315020639,J637-S_depth,J637-S,Eager Park,Canal Street Creek
90,-0.00491283693871189,-0.009396828155662479,0.0,-0.016130881736924202,-0.07172631015403139,-0.0657308270658496,J640-S_depth,J640-S,Eager Park,Canal Street Creek
91,7.673368052074636e-10,3.140517290667333e-09,0.0,-0.0005479813572994152,-0.0005609818690925084,-1.2789375492011645e-05,J659-S_depth,J659-S,Baltimore Highlands,Harris Creek
92,-2.579642172287344e-05,-0.00010334166211198315,0.0,-0.0006256551072806871,-0.008828320075865287,-0.008268207565590574,J672-S_depth,J672-S,Canton,Harris Creek
93,1.3230086920446027e-07,1.95885420495312e-07,0.0,-0.0005151912235432932,-0.0002709083963780001,0.00024534486086610907,J675-S_depth,J675-S,Canton,Harris Creek
94,-1.7109588190677982e-09,4.1326986832679324e-09,0.0,-0.0003495818457654176,0.0009482280390549769,0.0011779541713011765,J686-S_depth,J686-S,Canton,Harris Creek
95,6.174338404996149e-07,5.853527834005778e-07,0.0,0.00010649299535619994,0.0003284116211916023,0.00022534946376370074,J694-S_depth,J694-S,Canton,Harris Creek
96,-3.737558185171186e-05,-0.000147021874336295,0.0,-0.0007212131429510105,-0.02146244912670392,-0.020934700875847506,J695-S_depth,J695-S,Canton,Harris Creek
97,-6.779035380197196e-06,-0.006765247081238088,0.0,-0.0070480084814106975,-0.006787661397231096,0.00026770295461310545,J712-S_depth,J712-S,Patterson Park,Harris Creek
98,-3.112328969545608e-08,9.090260405519857e-09,0.0,-0.0005331383268480927,-0.0004448344149612926,8.881647197270248e-05,J714-S_depth,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
99,-8.880539893341144e-06,7.731195315274775e-06,0.0,-0.001739933291738438,-0.029278490364605725,-0.027654728727093625,J71-S_depth,J71-S,Federal Hill,"Southside, Drains to Harbor"
100,-1.0945289499741939e-07,-5.52851308593949e-07,0.0,-6.573504898882421e-07,0.00019268039675890414,0.00019279694773280398,J722-S_depth,J722-S,Fells Point,"Northside, Drains to Harbor"
101,-1.5110131895701429e-09,1.3912447999198108e-09,0.0,-0.00022128760753128973,-0.00021978196544469863,-1.5023402938352248e-09,J72-S_depth,J72-S,Federal Hill,"Southside, Drains to Harbor"
102,-3.3442435432018414e-08,-1.181015779616601e-08,0.0,-0.000990056822559482,-0.032963879956352915,-0.03193790433884591,J732-S_depth,J732-S,Fells Point,"Northside, Drains to Harbor"
103,-3.481615717948472e-09,3.5790455876760774e-09,0.0,-0.00037679883736030373,-0.0003724492066118079,4.436698985588183e-06,J733-S_depth,J733-S,Canton,"Northside, Drains to Harbor"
104,-0.0005477995233817978,-0.0010216718907185007,0.0,-0.0020297940123648883,-0.04612061781942518,-0.04514315587676508,J748-S_depth,J748-S,Washington Hill,Canal Street Creek
105,-3.21444483311617e-06,-0.015426871000909198,0.0,-0.016229915926506217,-0.0326468534755221,-0.015881889263156812,J749-S_depth,J749-S,Fells Point,Canal Street Creek
106,-5.854685292128181e-09,5.08929930143065e-09,0.0,-0.00030395415598449826,-0.00030395942645529417,-5.80337949918075e-09,J751-S_depth,J751-S,Fells Point,"Northside, Drains to Harbor"
107,-1.3673832788274609e-08,-2.065508597492993e-09,0.0,-0.0006064578792630004,0.0025032059411919105,0.003046574971463406,J756-S_depth,J756-S,Upper Fells Point,"Northside, Drains to Harbor"
108,6.654331549671433e-08,9.929613720149888e-08,0.0,-0.00036752166058229285,-0.002153642069983891,-0.001795308208768498,J758-S_depth,J758-S,Fells Point,"Northside, Drains to Harbor"
109,-1.0285299570367279e-07,-2.391124198919403e-07,0.0,-3.353997932997732e-07,-0.002773332163440098,-0.002773876008486692,J760-S_depth,J760-S,Fells Point,"Northside, Drains to Harbor"
110,-1.322198650899331e-06,-0.029463273419687908,0.0,-0.031201519172770975,-0.08347936029551778,-0.05615681262404648,J761-S_depth,J761-S,Fells Point,Canal Street Creek
111,-1.4470781520281584e-07,-5.677734450648675e-08,0.0,-0.0001990596844205078,-0.00019342175366710013,5.639062940390738e-06,J762-S_depth,J762-S,Canton Industrial Area,"Northside, Drains to Harbor"
112,-3.2770079511079686e-08,5.598444838272876e-08,0.0,-0.0004379816404707082,-0.006830269124681904,-0.006461834738886618,J764-S_depth,J764-S,Fells Point,"Northside, Drains to Harbor"
113,-6.407774982897241e-06,7.658637553031866e-07,0.0,9.513012260153886e-07,-0.0309092477557788,-0.030912616673960808,J765-S_depth,J765-S,Fells Point,"Northside, Drains to Harbor"
114,-7.860580089613656e-08,7.368327059609214e-08,0.0,-0.0005728039503807847,-0.008680246261168395,-0.008132828954014987,J772-S_depth,J772-S,Canton,"Northside, Drains to Harbor"
115,-7.343255766298351e-05,-0.00030688777796650246,0.0,-0.0007482479377166062,-0.0003285591525616083,0.000660571919053693,J782-S_depth,J782-S,Patterson Park,Harris Creek
116,-2.890030748048389e-08,1.2091613099673992e-08,0.0,-0.0003439705628799916,-0.00034326663774650323,8.112553546157919e-07,J787-S_depth,J787-S,Berea,Armistead Creek
117,-0.00023734733160160615,-0.0009629512799378959,0.0,-0.0018011779419138951,-0.027063365263045397,-0.02647777145048999,J789-S_depth,J789-S,Dunbar-Broadway,Canal Street Creek
118,-2.780525087953123e-09,5.350344056687106e-10,0.0,-0.0003292468935530979,-0.0003285635863964076,6.991054802008012e-07,J78-S_depth,J78-S,Federal Hill,"Southside, Drains to Harbor"
119,5.80523132398536e-06,2.7463849270492613e-05,0.0,-0.0007356008960818783,0.001204960988443915,0.0019459359624449113,J792-S_depth,J792-S,Canton,"Northside, Drains to Harbor"
120,-2.772595829869662e-07,-2.252310979944383e-07,0.0,-0.000503525940418692,-0.043074927858155004,-0.04215306235247421,J799-S_depth,J799-S,Fells Point,"Northside, Drains to Harbor"
121,8.141721741239394e-09,1.2089481082888653e-09,0.0,-0.0007683923810522519,-0.012018804872001465,-0.011232198968800788,J7-S_depth,J7-S,Canton Industrial Area,"Northside, Drains to Harbor"
122,-0.0005831737895715949,6.752787790054171e-08,0.0,-0.001121089548979104,-0.0199405257042978,-0.019024645409581487,J801-S_depth,J801-S,Broadway East,Canal Street Creek
123,-3.1261715096042586e-06,2.737217654105728e-06,0.0,-0.0005513701708843022,-0.007016808836762603,-0.006484729923675894,J80-S_depth,J80-S,Federal Hill,"Southside, Drains to Harbor"
124,-1.937478660840597e-08,1.9405119011661753e-08,0.0,-0.0009927285995751656,-0.011616510161286675,-0.010612156333098255,J88-S_depth,J88-S,Federal Hill,"Southside, Drains to Harbor"
125,-1.6007039971288606e-08,-6.000953678420018e-09,0.0,-0.0006221971565121831,-0.004642731620740775,-0.00401590222094006,J8-S_depth,J8-S,Canton Industrial Area,"Northside, Drains to Harbor"
