,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood
64,J506-S_flow,2.2423618323406878,2.243049490946702,2.24320959466795,2.229910624246596,2.2299132241960957,2.242338210480176,J506-S,"('Baltimore Highlands', 'Harris Creek')"
65,J507-S_flow,13.434754814627128,13.435073583205693,13.434726712936138,13.312814455133129,10.383478627617738,10.490242785040165,J507-S,"('Patterson Park', 'Harris Creek')"
66,J50-S_flow,2.78396769561016,2.0236214271194464,2.784566928266504,2.0067692020363386,1.9319376120766856,2.6953872176327827,J50-S,"('Washington Hill', 'Canal Street Creek')"
67,J512-S_flow,13.050740403420624,13.04327614277888,13.050698867295685,12.925062606226655,10.10838334164768,10.198841699414649,J512-S,"('Patterson Park', 'Harris Creek')"
68,J534-S_flow,4.750925686842852,4.75194223011892,4.751186373899955,4.722462976121535,4.728326929499922,4.755436478537206,J534-S,"('Patterson Park', 'Harris Creek')"
69,J539-S_flow,3.941912046727385,3.94186405833574,3.942108564125793,3.917548757810449,3.5785906556767646,3.6006220080189277,J539-S,"('Canton', 'Northside, Drains to Harbor')"
70,J541-S_flow,1.7471968775430768,1.747639226022612,1.747742215554107,1.7368771284250706,1.7368787978583629,1.747181682366299,J541-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
71,J548-S_flow,5.339588271662155,5.338480100561629,5.339027846460287,5.306216630081307,5.306763648417329,5.339588271662155,J548-S,"('Canton', 'Northside, Drains to Harbor')"
72,J556-S_flow,2.527995178129065,2.5279708079015446,2.528110981041595,2.512356631475403,2.5199346463778745,2.5354434860741435,J556-S,"('Canton', 'Harris Creek')"
73,J567-S_flow,4.191721770380555,4.191772644638954,4.192056936101018,4.167274162744075,4.167610988222403,4.191774420616382,J567-S,"('Berea', 'Armistead Creek')"
74,J568-S_flow,7.603753864593371,7.602812770456273,7.603278515107023,7.5773507509480496,7.442682720747725,7.468500846571456,J568-S,"('Berea', 'Armistead Creek')"
75,J571-S_flow,4.014750500581813,4.013931819332847,4.014336476426157,4.010639769541575,4.011051300552855,4.014750500581813,J571-S,"('Berea', 'Armistead Creek')"
76,J576-S_flow,4.8726970471876365,4.674979806460094,5.09252677803715,4.387504423689794,2.31528474243564,2.503779794511486,J576-S,"('Dunbar-Broadway', 'Canal Street Creek')"
77,J578-S_flow,5.447695871543163,5.246097294326842,5.6186822692258005,5.0919528578591695,3.888817627831729,3.9879167086217486,J578-S,"('Dunbar-Broadway', 'Canal Street Creek')"
78,J586-S_flow,1.2640887272274417,1.264089621481288,1.2640908445120411,1.2544944759973524,1.0134745207063307,1.0219337554544017,J586-S,"('Dunbar-Broadway', 'Canal Street Creek')"
