,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
59,J484-S_depth,0.231789019293236,0.2317887348816706,0.2317888751520655,0.1893594353522464,0.1893595702115963,0.2314541662021204,0.1891810217311529,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.1763686968402154,0.1763685707296433,0.1763683792034648,0.1418767739141353,0.1418767801026683,0.1760957602232017,0.1416866989239407,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.0993231384455753,0.0993230788682629,0.0993232284038192,0.0993237386211516,0.0993232893834565,0.0993231142770499,0.0993236154615553,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.107085845924443,0.0945756301160256,0.107085937569465,0.1070863073001525,0.1070858309280974,0.1068094102511898,0.10680975840387,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.1801475917752429,0.1801475738776528,0.1801465483404042,0.1754497646395099,0.1754544388355505,0.1801478356909345,0.1754506884148691,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.2022447672953099,0.2022448469715909,0.2022444288307316,0.2056337839389057,0.2056338174114775,0.2021603229359163,0.2054641966823385,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_depth,0.2496829070539001,0.2494414201872693,0.2496820632864783,0.1965783106167427,0.1965783507746251,0.2494660430557788,0.1964880094364973,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1295972158718553,0.1143117033011659,0.1295972182958096,0.1288969116306713,0.1288969096778069,0.1292565774676366,0.1285571967990732,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.1606704857438639,0.1619019392904266,0.160673439950981,0.1112167259598508,0.1112118237181247,0.1605516506239509,0.1111717533750548,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.1849822658186779,0.1823156726108619,0.1849849112180557,0.1892803664375535,0.1892739530586879,0.1847774089549662,0.1877362748148507,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.2890372222861196,0.2890372173170052,0.2890372225789442,0.2758301784814421,0.2758301772362672,0.2781447343811436,0.2650398109674065,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.1523212989058192,0.1523200079600339,0.1523211814682784,0.1523633344244984,0.152364053598336,0.115995686236954,0.1523632698390594,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.3004325029784884,0.3004325030285759,0.300432501757763,0.3011059127194826,0.3011059127324658,0.2908298689568365,0.2914632165514289,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.2232279580498714,0.2232279473847321,0.2232280264251443,0.2122085289808574,0.2122084495048758,0.2232279406870303,0.2122085746978221,J556-S,Canton,Harris Creek
73,J567-S_depth,0.1114253746365647,0.1114253743557103,0.1114253790518802,0.1017565375107296,0.1017565407952418,0.1111189060704207,0.1014675325201783,J567-S,Berea,Armistead Creek
74,J568-S_depth,0.1496537235168998,0.149653722919719,0.1496537336197762,0.1047257122586332,0.1047277870043891,0.1491895235064357,0.1044263871955767,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.0805212386333299,0.080521238037798,0.0805212409806441,0.0830034173599083,0.0829997737768816,0.0805212359289643,0.0830223479227542,J571-S,Berea,Armistead Creek
