,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
95,J694-S_depth,0.0238070298746998,0.023807191224254,0.0238213450997204,0.0241262816177997,0.0241272129081798,0.0238065680992942,0.0241267476626758,J694-S,Canton,Harris Creek
96,J695-S_depth,0.12449194191577,0.1243776788708702,0.1245008681373226,0.0958449025483271,0.0958446844222208,0.1244768789516191,0.095844622886141,J695-S,Canton,Harris Creek
97,J712-S_depth,0.1386205625368558,0.123564223062623,0.138621022661973,0.1394843522581777,0.1394835986755392,0.1384848139962009,0.1393483802572809,J712-S,Patterson Park,Harris Creek
98,J714-S_depth,0.1859819454628018,0.1859819459247186,0.185981954358651,0.1898682029655483,0.1898683522983075,0.1859600921220781,0.1898463133735555,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
99,J71-S_depth,0.2790007746045059,0.2790123382041687,0.2790011176099165,0.244695780396674,0.2446957124179214,0.2784651132443637,0.24462745423457,J71-S,Federal Hill,"Southside, Drains to Harbor"
100,J722-S_depth,0.0942784627943135,0.0942784052944121,0.0942786228231375,0.0957970588084549,0.0957969848182474,0.094278401545168,0.0957971307964971,J722-S,Fells Point,"Northside, Drains to Harbor"
101,J72-S_depth,0.1165284459304901,0.1165284311104111,0.1165284623392596,0.1165285006619643,0.1165284964699591,0.1160010187703308,0.1160011039413698,J72-S,Federal Hill,"Southside, Drains to Harbor"
102,J732-S_depth,0.2105827851376013,0.2105827881031509,0.2105828660588296,0.1724478447046305,0.1724477540376643,0.2105587686666072,0.1724234111371457,J732-S,Fells Point,"Northside, Drains to Harbor"
103,J733-S_depth,0.1520871769294574,0.1520871027733847,0.1520872614855998,0.1521878612527305,0.1521876209606324,0.1520870886473894,0.1521877981181619,J733-S,Canton,"Northside, Drains to Harbor"
104,J748-S_depth,0.0599426425370916,0.059915078625347,0.0599439259385015,0.0365195500770262,0.0365200622214355,0.0597529411044729,0.0365002239691669,J748-S,Washington Hill,Canal Street Creek
105,J749-S_depth,0.167793054155376,0.1544347495987887,0.1677938199873003,0.1533361811687603,0.1533348113350723,0.1675860393149091,0.1531279131214897,J749-S,Fells Point,Canal Street Creek
106,J751-S_depth,0.1230999094626061,0.1230999094625317,0.1230999094616589,0.1240444550364588,0.1240445927533681,0.1230999094605008,0.1240445215842176,J751-S,Fells Point,"Northside, Drains to Harbor"
107,J756-S_depth,0.2148057113407137,0.2148057195789703,0.2148056926858957,0.2238076796719619,0.2238076857096682,0.2126453377698474,0.2214658136016691,J756-S,Upper Fells Point,"Northside, Drains to Harbor"
108,J758-S_depth,0.128891555540313,0.1288917246590665,0.128891679262711,0.121427392312947,0.1214275606139211,0.1288917695505156,0.1214274677932206,J758-S,Fells Point,"Northside, Drains to Harbor"
109,J760-S_depth,0.0921377703805274,0.0921377476129981,0.092137787016636,0.0840650320175621,0.0840649016042465,0.0921377501172766,0.0840649774448749,J760-S,Fells Point,"Northside, Drains to Harbor"
110,J761-S_depth,0.2484445202568616,0.2277297462753942,0.2484446263144587,0.1770886762280254,0.177088596517083,0.2481349930518057,0.1768735256683002,J761-S,Fells Point,Canal Street Creek
111,J762-S_depth,0.1080654725482806,0.1080654726581406,0.1080654848918596,0.1080661208775469,0.108066123240029,0.1079880010670852,0.1079886694948052,J762-S,Canton Industrial Area,"Northside, Drains to Harbor"
112,J764-S_depth,0.1290700922145477,0.1290700748090086,0.1290701981299341,0.1191738704606322,0.1191738447102939,0.129070050599311,0.1191738585359378,J764-S,Fells Point,"Northside, Drains to Harbor"
113,J765-S_depth,0.07790917300888,0.077909175235141,0.0779093934451142,0.0494273332095889,0.0494270581652467,0.0779091542905206,0.0494271498192172,J765-S,Fells Point,"Northside, Drains to Harbor"
114,J772-S_depth,0.2022426090052492,0.2022426089242953,0.2022426088049063,0.19924933705181,0.1992493301826948,0.1956303014949033,0.192747362003416,J772-S,Canton,"Northside, Drains to Harbor"
115,J782-S_depth,0.0606751440971685,0.0605584556416714,0.060693627613054,0.0610042121161525,0.0609264481823416,0.0606488501288247,0.0609683934336969,J782-S,Patterson Park,Harris Creek
116,J787-S_depth,0.1364800171375928,0.1364800171355261,0.1364800171993978,0.1388639486943265,0.13886395381413,0.136199812847873,0.1385791768013804,J787-S,Berea,Armistead Creek
117,J789-S_depth,0.1063613843471925,0.106356663252416,0.1063615125741494,0.0811558618945595,0.081155820832416,0.1061638884350949,0.0809783625676715,J789-S,Dunbar-Broadway,Canal Street Creek
118,J78-S_depth,0.1355090091868954,0.1355090031551819,0.135509042465476,0.1355141254613779,0.1355141310871036,0.1354100570411467,0.1354152154988706,J78-S,Federal Hill,"Southside, Drains to Harbor"
119,J792-S_depth,0.3129073238102601,0.3129095807120656,0.3129081381350004,0.3189772665623673,0.3189760997166105,0.3129067086521798,0.3189773428189191,J792-S,Canton,"Northside, Drains to Harbor"
120,J799-S_depth,0.0758704543110475,0.0758704476527309,0.0758704971456685,0.0458380855456888,0.045838033127882,0.0758704368673756,0.0458380620886816,J799-S,Fells Point,"Northside, Drains to Harbor"
121,J7-S_depth,0.2962725685484488,0.2962726790204079,0.2962736459779341,0.293417727000904,0.2934176520321835,0.2960602519214995,0.2932044322338387,J7-S,Canton Industrial Area,"Northside, Drains to Harbor"
122,J801-S_depth,0.109751927321289,0.1097519043372559,0.1101843177300729,0.0785322260200091,0.0785322096840921,0.1080483931710769,0.0764863282363316,J801-S,Broadway East,Canal Street Creek
123,J80-S_depth,0.1016527701412224,0.1016563595247987,0.1016527806645542,0.0950111736552096,0.0950082260024314,0.1014698314112475,0.0949706323339589,J80-S,Federal Hill,"Southside, Drains to Harbor"
124,J88-S_depth,0.313966578043705,0.3139665748111897,0.3139666380342409,0.3070809157666348,0.3070808960222717,0.313493702724995,0.3066044292598988,J88-S,Federal Hill,"Southside, Drains to Harbor"
125,J8-S_depth,0.249709001787379,0.2497086401223836,0.2497095501169026,0.2483431432773767,0.2483406283394862,0.2317144416734622,0.2483421255125723,J8-S,Canton Industrial Area,"Northside, Drains to Harbor"
